InstrumentCode,ISIN,InstrumentLongName,HoldingNominal,AssetMarketValue,Weight (%) Pre,Weight (%) Post,Maturity,Companion,Spread,MTM,Yield,Mod Duration,Term,Type,Issuer Type,Issuer,Exposure,Level of Subordination,Subordination,Quality,Liquidity,Interest Rate Score,Spread over Jibar,Instrument Score,Risk,Risk Duration,Reference, ,Level 2,Level 3,Level 4,Level 1 Max,Level 2 Max,Level 3 Max,Level 4 Max,GIR,Infrastructure
ABFN23,ZAG000144296,ABFN23 Jb3Mth+2.05% 250527,8500000,8869188.412,0.002928711,0.002928711,2027/05/25,JIBAR,108,,9.422,0.126027397,3.624657534,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.144200627,108,63.38216719,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.150125564,0.119031022,0.150125564,0.150125564,2.1(c)(i),No
ABFN29,ZAG000153727,ABSA F/R 29082025,6000000,6130106.638,0.002024234,0.002024234,2025/08/29,JIBAR,94.25,,9.2845,0.136986301,1.887671233,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.158730159,94.25,63.38943195,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.150125564,0.119031022,0.150125564,0.150125564,2.1(c)(i),No
ABFN30,ZAG000153735,ABSA F/R 29082028,1000000,1032474.575,0.000340935,0.000340935,2028/08/29,JIBAR,118,,9.522,0.136986301,4.890410959,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.158730159,118,63.38943195,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.150125564,0.119031022,0.150125564,0.150125564,2.1(c)(i),No
ABFN36,,ABSA F/R 09022026,10000000,10231634.27,0.003378606,0.003378606,2026/02/07,JIBAR,122,,9.562,0.076712329,2.331506849,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.083086053,122,63.3516099,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.150125564,0.119031022,0.150125564,0.150125564,2.1(c)(i),No
ABFN40,,ABSA F/R 16092024,2100000,2120425.226,0.000700189,0.000700189,2024/09/16,JIBAR,90,,9.242,0.183561644,0.936986301,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.224832215,90,63.42248298,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.150125564,0.119031022,0.150125564,0.150125564,2.1(c)(i),No
ABFN41,ZAG000162371,ABSA F/R 16092026,1000000,1007129.172,0.000332566,0.000332566,2026/09/16,JIBAR,134,,9.682,0.183561644,2.936986301,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.224832215,134,63.42248298,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.150125564,0.119031022,0.150125564,0.150125564,2.1(c)(i),No
ABFN42,ZAG000162389,ABSA F/R 16092029,1000000,1009363.473,0.000333304,0.000333304,2029/09/16,JIBAR,142,,9.762,0.183561644,5.939726027,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.224832215,142,63.42248298,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.150125564,0.119031022,0.150125564,0.150125564,2.1(c)(i),No
ABFN50,,ABSA F/R 30032026,2600000,2606111.573,0.000860569,0.000860569,2026/03/30,JIBAR,130,,9.642,0.221917808,2.471232877,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.285211268,130,63.45267251,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.150125564,0.119031022,0.150125564,0.150125564,2.1(c)(i),No
ABFN61,,Absa F/R 24022028,20000000,20421791.9,0.006743517,0.006743517,2028/02/24,JIBAR,110,,9.442,0.123287671,4.378082192,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.140625,110,63.38037938,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.150125564,0.119031022,0.150125564,0.150125564,2.1(c)(i),No
ABGN01,,ABSA F/R 27062025,2900000,2923384.614,0.000965336,0.000965336,2025/06/27,JIBAR,95,,9.292,0.21369863,1.715068493,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.271777003,95,63.44595538,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.150125564,0.119031022,0.150125564,0.150125564,2.1(c)(i),No
