InstrumentCode,ISIN,InstrumentLongName,HoldingNominal,AssetMarketValue,Weight (%) Pre,Weight (%) Post,Maturity,Companion,Spread,MTM,Yield,Mod Duration,Term,Type,Issuer Type,Issuer,Exposure,Level of Subordination,Subordination,Quality,Liquidity,Interest Rate Score,Spread over Jibar,Instrument Score,Risk,Risk Duration,Reference, ,Level 2,Level 3,Level 4,Level 1 Max,Level 2 Max,Level 3 Max,Level 4 Max,GIR,Infrastructure
ABFN23,ZAG000144296,ABFN23 Jb3Mth+2.05% 250527,8500000,8709402.587,0.002842331,0.002842331,2027/05/25,JIBAR,135,,9.75,0.238356164,3.736986301,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.31294964,135,64.0281646,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.14850043,0.11811563,0.14850043,0.14850043,2.1(c)(i),No
ABFN29,ZAG000153727,ABSA F/R 29082025,6000000,6069796.802,0.001980891,0.001980891,2025/08/29,JIBAR,94.25,,9.3425,0.249315068,2,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.332116788,94.25,64.03774817,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.14850043,0.11811563,0.14850043,0.14850043,2.1(c)(i),No
ABFN30,ZAG000153735,ABSA F/R 29082028,1000000,1009395.38,0.000329418,0.000329418,2028/08/29,JIBAR,150.25,,9.9025,0.249315068,5.002739726,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.332116788,150.25,64.03774817,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.14850043,0.11811563,0.14850043,0.14850043,2.1(c)(i),No
ABFN36,,ABSA F/R 09022026,10000000,10128620.24,0.003305496,0.003305496,2026/02/07,JIBAR,122,,9.62,0.189041096,2.443835616,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.233108108,122,63.98824383,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.14850043,0.11811563,0.14850043,0.14850043,2.1(c)(i),No
ABFN40,,ABSA F/R 16092024,2100000,2150648.195,0.000701868,0.000701868,2024/09/16,JIBAR,90,,9.3,0.046575342,1.049315068,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.048850575,90,63.89611506,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.14850043,0.11811563,0.14850043,0.14850043,2.1(c)(i),No
ABFN41,ZAG000162371,ABSA F/R 16092026,1000000,1021375.159,0.000333328,0.000333328,2026/09/16,JIBAR,134,,9.74,0.046575342,3.049315068,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.048850575,134,63.89611506,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.14850043,0.11811563,0.14850043,0.14850043,2.1(c)(i),No
ABFN42,ZAG000162389,ABSA F/R 16092029,1000000,1023828.493,0.000334129,0.000334129,2029/09/16,JIBAR,142,,9.82,0.046575342,6.052054795,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.048850575,142,63.89611506,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.14850043,0.11811563,0.14850043,0.14850043,2.1(c)(i),No
ABFN50,,ABSA F/R 30032026,2600000,2642511.904,0.000862389,0.000862389,2026/03/30,JIBAR,130,,9.7,0.084931507,2.583561644,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.092814371,130,63.91809696,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.14850043,0.11811563,0.14850043,0.14850043,2.1(c)(i),No
ABFN61,,Absa F/R 24022028,20000000,20182098.42,0.006586469,0.006586469,2028/02/24,JIBAR,115,,9.55,0.235616438,4.490410959,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.308243728,115,64.02581164,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.14850043,0.11811563,0.14850043,0.14850043,2.1(c)(i),No
ABGN01,,ABSA F/R 27062025,2900000,2960096.945,0.000966034,0.000966034,2025/06/27,JIBAR,106,,9.46,0.076712329,1.82739726,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.083086053,106,63.9132328,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.14850043,0.11811563,0.14850043,0.14850043,2.1(c)(i),No
