Americas,Region,COUNTRY_FULL_NAME,YLD_YTM_MID,VOLATILITY_30D
EI240045 Corp,Americas,ARGENTINA,18.4443706,0.049497031
ZM833991 Corp,Americas,CANADA,3.574846723,10.07417679
91282CHC Govt,Americas,UNITED STATES,4.120035582,8.481038094
BT849229 Corp,Americas,CHILE,5.183863009,8.591029167
BS197652 Corp,Americas,PERU,5.39863087,9.746651649
BZ864048 Corp,Americas,CHILE,5.772,3.277446747
BT316586 Corp,Americas,MEXICO,5.695982633,8.860891342
ZN384489 Corp,Americas,PANAMA,6.112412661,8.128903389
ZK086847 Corp,Americas,BRAZIL,6.350672818,6.930067539
AZ176124 Corp,Americas,PERU,6.827981557,9.118704796
EC830958 Corp,Americas,COLOMBIA,7.953099297,6.529352188
ZN793581 Corp,Americas,MEXICO,9.304024041,6.945070744
AW627458 Corp,Americas,COLOMBIA,10.61350232,14.07819366
BT274981 Corp,Americas,BRAZIL,11.0381,7.958830833
EC915295 Corp,EMEA,SWITZERLAND,0.941155298,4.733697414
BW183328 Corp,EMEA,SWEDEN,2.747260495,7.243127346
ZM198538 Corp,EMEA,GERMANY,2.496159506,7.865963936
ZM652763 Corp,EMEA,DENMARK,2.800380701,7.709424019
ZM660522 Corp,EMEA,NETHERLANDS,2.856249628,8.014414787
BT494592 Corp,EMEA,IRELAND,2.906265937,8.195570946
ZL984408 Corp,EMEA,FRANCE,3.03923462,7.940398693
BV413229 Corp,EMEA,SNAT,3.096634868,7.246188164
ZK372958 Corp,EMEA,FINLAND,3.082241073,8.019394875
ZM205134 Corp,EMEA,AUSTRIA,3.115565528,7.683687687
ZM326915 Corp,EMEA,BELGIUM,3.148025878,7.887995243
BV750432 Corp,EMEA,PORTUGAL,3.205596537,7.585791588
ZM200087 Corp,EMEA,SLOVENIA,3.44643324,7.438471317
ZM887876 Corp,EMEA,NORWAY,3.790544981,6.963082314
BR705021 Corp,EMEA,ISRAEL,3.82,7.546584129
BO277226 Corp,EMEA,CROATIA,3.843857214,3.75348711
ZM480429 Corp,EMEA,GREECE,3.814823689,7.28278017
AW984753 Corp,EMEA,CYPRUS,3.909123921,6.758419514
ZK143322 Corp,EMEA,CZECH,4.37281794,6.319312096
ZK356093 Corp,EMEA,ITALY,4.168181084,8.586091995
ZN905632 Corp,EMEA,BRITAIN,4.430976,8.576078415
ZM351403 Corp,EMEA,SAUDI ARABIA,5.05236537,7.111798286
ZN955459 Corp,EMEA,POLAND,5.565057003,7.253032684
BT439643 Corp,EMEA,HUNGARY,7.081331645,10.65987301
BR418731 Corp,EMEA,TURKEY,8.073816938,10.78540611
EK773288 Corp,EMEA,SOUTH AFRICA,11.67998,8.630784035
AM854915 Corp,EMEA,RUSSIA,10.56,3.937897205
BZ902845 Corp,EMEA,TURKEY,18.29,23.58152962
BK633909 Corp,EMEA,UKRAINE,29.81190436,45.28614426
AS829623 Corp,EMEA,LEBANON,89.3812937,38.86479568
EJ592529 Corp,Asia/Pacific,PHILIPPINES,6.307358,4.834986687
BZ501179 Corp,Asia/Pacific,THAILAND,2.758309963,2.106034994
ZK711146 Corp,Asia/Pacific,CHINA,2.585500254,1.969220638
EJ801575 Corp,Asia/Pacific,SINGAPORE,3.122417,4.770932198
ZL960404 Corp,Asia/Pacific,SOUTH KOREA,3.826114322,6.448194504
BT458480 Corp,Asia/Pacific,MALAYSIA,3.85,2.681292057
BV865034 Corp,Asia/Pacific,AUSTRALIA,4.025846442,10.08091068
QJ109447 Corp,Asia/Pacific,NEW ZEALAND,4.873484056,6.905946732
ZM320328 Corp,Asia/Pacific,PHILIPPINES,4.989826874,8.435271263
ZM226890 Corp,Asia/Pacific,INDONESIA,5.094468711,7.32337904
ZM764311 Corp,Asia/Pacific,INDIA,7.168404405,2.506031752
BH785854 Corp,Asia/Pacific,PAKISTAN,16.5577355,44.8550415
