InstrumentCode,ISIN,InstrumentLongName,HoldingNominal,AssetMarketValue,Weight (%) Pre,Weight (%) Post,Maturity,Companion,Spread,MTM,Yield,Mod Duration,Term,Type,Issuer Type,Issuer,Exposure,Level of Subordination,Subordination,Quality,Liquidity,Interest Rate Score,Spread over Jibar,Instrument Score,Risk,Risk Duration,Reference, ,Level 2,Level 3,Level 4,Level 1 Max,Level 2 Max,Level 3 Max,Level 4 Max,GIR,Infrastructure
ABFN23,ZAG000144296,ABFN23 Jb3Mth+2.05% 250527,8500000,8917107.892,0.003005555,0.003005555,2027/05/25,JIBAR,108,,9.43,0.068493151,3.567123288,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.073529412,108,63.93731805,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.153532592,0.12160214,0.153532592,0.153532592,2.1(c)(i),No
ABFN29,ZAG000153727,ABSA F/R 29082025,6000000,6162521.366,0.002077108,0.002077108,2025/08/29,JIBAR,94.25,,9.2925,0.079452055,1.830136986,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.086309524,94.25,63.9437081,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.153532592,0.12160214,0.153532592,0.153532592,2.1(c)(i),No
ABFN30,ZAG000153735,ABSA F/R 29082028,1000000,1038110.564,0.0003499,0.0003499,2028/08/29,JIBAR,118,,9.53,0.079452055,4.832876712,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.086309524,118,63.9437081,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.153532592,0.12160214,0.153532592,0.153532592,2.1(c)(i),No
ABFN36,,ABSA F/R 09022026,10000000,10038074.12,0.003383383,0.003383383,2026/02/07,JIBAR,122,,9.57,0.019178082,2.273972603,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.019553073,122,63.91032988,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.153532592,0.12160214,0.153532592,0.153532592,2.1(c)(i),No
ABFN40,,ABSA F/R 16092024,2100000,2131623.152,0.000718474,0.000718474,2024/09/16,JIBAR,90,,9.25,0.126027397,0.879452055,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.144200627,90,63.97265366,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.153532592,0.12160214,0.153532592,0.153532592,2.1(c)(i),No
ABFN41,ZAG000162371,ABSA F/R 16092026,1000000,1012698.297,0.000341335,0.000341335,2026/09/16,JIBAR,134,,9.69,0.126027397,2.879452055,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.144200627,134,63.97265366,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.153532592,0.12160214,0.153532592,0.153532592,2.1(c)(i),No
ABFN42,ZAG000162389,ABSA F/R 16092029,1000000,1014996.953,0.00034211,0.00034211,2029/09/16,JIBAR,142,,9.77,0.126027397,5.882191781,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.144200627,142,63.97265366,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.153532592,0.12160214,0.153532592,0.153532592,2.1(c)(i),No
ABFN50,,ABSA F/R 30032026,2600000,2620489.904,0.000883249,0.000883249,2026/03/30,JIBAR,130,,9.65,0.164383562,2.41369863,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.196721311,130,63.998914,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.153532592,0.12160214,0.153532592,0.153532592,2.1(c)(i),No
ABFN61,,Absa F/R 24022028,20000000,20531814.58,0.00692035,0.00692035,2028/02/24,JIBAR,110,,9.45,0.065753425,4.320547945,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.070381232,110,63.93574396,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.153532592,0.12160214,0.153532592,0.153532592,2.1(c)(i),No
ABGN01,,ABSA F/R 27062025,2900000,2938937.123,0.000990583,0.000990583,2025/06/27,JIBAR,95,,9.3,0.156164384,1.657534247,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.185064935,95,63.99308581,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.153532592,0.12160214,0.153532592,0.153532592,2.1(c)(i),No
ABGN03,,ABSA F/R 27062029,500000,511676.6297,0.000172463,0.000172463,2029/06/27,JIBAR,124,,9.59,0.156164384,5.660273973,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.185064935,124,63.99308581,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.153532592,0.12160214,0.153532592,0.153532592,2.1(c)(i),No
ABN61,,ABSA ILB 2% 310125,450000,772149.285,0.000260257,0.000260257,2025/01/31,I2025,30,5.145,10.545,1.195900826,1.254794521,Bank Senior Debt - ILBs,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,-5.104623712,219.5,60.84824149,1,1.195900826,I2025,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.153532592,0.12160214,0.153532592,0.153532592,,No
ABN62,,ABSA Inflation Linked Bond 2.6% 31032028,5000000,10811912.5,0.003644209,0.003644209,2028/03/31,R210,77,5.57,10.97,4.05213914,4.419178082,Bank Senior Debt - ILBs,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,-0.32763906,262,63.23673381,1,4.05213914,R210,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.153532592,0.12160214,0.153532592,0.153532592,,No
ABSI2,,ABSA ILB 07/12/2023 ,6600000,22590405.42,0.007614208,0.007614208,2023/12/07,R197,70,3.8,9.2,0.09282212,0.101369863,Bank Senior Debt - ILBs,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.102319647,85,63.95171316,1,0.09282212,R197,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.153532592,0.12160214,0.153532592,0.153532592,,No
ABS19,,ABSA 9.67% 24022028,10000000,9982380,0.003364611,0.003364611,2028/02/24,R186,94,10.26,10.26,3.377872583,4.320547945,Bank Senior Debt - Fixed,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,-0.42054398,191,63.19028135,1,3.377872583,R186,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.153532592,0.12160214,0.153532592,0.153532592,,No
ABCPI3,,ABCPI3 5.5% 071223,6330000,21653187.98,0.007298314,0.007298314,2023/12/07,R197,135,4.45,9.85,0.09276615,0.101369863,Bank Subordinated Debt - Tier 2,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Subordinated Debt - Tier 2,2,-0.134122579,2.810191978,1.102251641,150,77.95167916,1,0.09276615,R197,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.153532592,0.12160214,0.153532592,0.153532592,,No
26FR0007,ZAM000529585,ABSA F/R 17122024,20000000,20236493.7,0.00682081,0.00682081,2024/12/17,JIBAR,85,0,9.2,0.125,1.131506849,Money Market,Bank,ABSA BANK LTD,ABSA BANK LTD,Money Market,0.5,-0.134122579,2.810191978,1.142857143,85,62.97198191,0,0,JIBAR,1,1.1,,,0.042550158,0.042550158,0,0,,No
26FR0009,ZAM000532159,ABSA F/R 19012026,7000000,7023310.96,0.002367242,0.002367242,2026/01/19,JIBAR,100,0,9.35,0.125,2.221917808,Money Market,Bank,ABSA BANK LTD,ABSA BANK LTD,Money Market,0.5,-0.134122579,2.810191978,1.142857143,100,62.97198191,0,0,JIBAR,1,1.1,,,0.042550158,0.042550158,0,0,,No
26NC0006,ZAM000541523,ABSA Bank NCD 6.815% 12052026,15000000,15477445.99,0.00521675,0.00521675,2026/05/12,0,0,6.815,6.815,2.21668599,2.531506849,Money Market,Bank,ABSA BANK LTD,ABSA BANK LTD,Money Market,0.5,-0.134122579,2.810191978,-0.821904755,-153.5,61.98960096,0,0,FIXED,1,1.1,,,0.042550158,0.042550158,0,0,,No
26NC0011,ZAM000558170,ABSA NCD 6.445% 27112023,10000000,10279479.79,0.00346475,0.00346475,2023/11/27,0,0,6.445,6.445,0.067681962,0.073972603,Money Market,Bank,ABSA BANK LTD,ABSA BANK LTD,Money Market,0.5,-0.134122579,2.810191978,1.072595359,-190.5,62.93685102,0,0,FIXED,1,1.1,,,0.042550158,0.042550158,0,0,,No
26NC0025,ZAM000584622,Absa NCD 8.49% 15072024,10000000,10247413.93,0.003453942,0.003453942,2024/07/15,0,0,8.49,8.49,0.655905703,0.706849315,Money Market,Bank,ABSA BANK LTD,ABSA BANK LTD,Money Market,0.5,-0.134122579,2.810191978,2.906180106,14,63.85364339,0,0,FIXED,1,1.1,,,0.042550158,0.042550158,0,0,,No
26NC0031,,ABSA NCD 8.54% 26042024,10000000,10013570.36,0.003375123,0.003375123,2024/04/26,0,0,8.54,8.54,0.46638666,0.487671233,Money Market,Bank,ABSA BANK LTD,ABSA BANK LTD,Money Market,0.5,-0.134122579,2.810191978,1.874016116,19,63.3375614,0,0,FIXED,1,1.1,,,0.042550158,0.042550158,0,0,,No
26NC0034,ZAM000602531,ABSA NCD 8.625% 14122023,10000000,10753085.41,0.003624381,0.003624381,2023/12/14,0,0,8.625,8.625,0.114251007,0.120547945,Money Market,Bank,ABSA BANK LTD,ABSA BANK LTD,Money Market,0.5,-0.134122579,2.810191978,1.128988019,27.5,62.96504735,0,0,FIXED,1,1.1,,,0.042550158,0.042550158,0,0,,No
26NC0035,ZAM000604263,ABSA NCD 8.6% 04012024,15000000,16047815.22,0.005408996,0.005408996,2024/01/04,0,0,8.6,8.6,0.166800194,0.178082192,Money Market,Bank,ABSA BANK LTD,ABSA BANK LTD,Money Market,0.5,-0.134122579,2.810191978,1.200192311,25,63.0006495,0,0,FIXED,1,1.1,,,0.042550158,0.042550158,0,0,,No
26NC0038,ZAM000605088,Absa NCD 8.40% 10012024,15000000,16002039.16,0.005393567,0.005393567,2024/01/10,0,0,8.4,8.4,0.182736045,0.194520548,Money Market,Bank,ABSA BANK LTD,ABSA BANK LTD,Money Market,0.5,-0.134122579,2.810191978,1.223594891,5,63.01235079,0,0,FIXED,1,1.1,,,0.042550158,0.042550158,0,0,,No
26NC0043,,Absa NCD 8.76% 24022025,10000000,10160356,0.003424598,0.003424598,2025/02/24,0,0,8.76,8.76,1.19911472,1.320547945,Money Market,Bank,ABSA BANK LTD,ABSA BANK LTD,Money Market,0.5,-0.134122579,2.810191978,-5.022230397,41,59.88943814,0,0,FIXED,1,1.1,,,0.042550158,0.042550158,0,0,,No
AGL01,ZAG000155615,Absa Group Limited F/R 29112023,3000000,3061072.102,0.00103175,0.00103175,2023/11/29,JIBAR,130,,9.65,0.079452055,0.079452055,Bank Subordinated Debt - Tier 2,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Subordinated Debt - Tier 2,2,-0.134122579,2.810191978,1.086309524,130,77.9437081,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.153532592,0.12160214,0.153532592,0.153532592,2.1(c)(i),No
AGL02,ZAG000158452,Absa Group Limited F/R 11042024,15000000,15181293.86,0.00511693,0.00511693,2024/04/11,JIBAR,114,,9.49,0.197260274,0.446575342,Bank Subordinated Debt - Tier 2,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Subordinated Debt - Tier 2,2,-0.134122579,2.810191978,1.245733788,114,78.02342024,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.153532592,0.12160214,0.153532592,0.153532592,2.1(c)(i),No
AGL03,,Absa Group Limited F/R 19052025,10000000,10316094.52,0.003477091,0.003477091,2025/05/17,JIBAR,149,,9.84,0.046575342,1.545205479,Bank Subordinated Debt - Tier 2,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Subordinated Debt - Tier 2,2,-0.134122579,2.810191978,1.048850575,149,77.92497863,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.153532592,0.12160214,0.153532592,0.153532592,2.1(c)(i),No
AGT03,,Absa F/R 05062025,20000000,21058478.87,0.007097865,0.007097865,2025/06/05,JIBAR,200,,10.35,0.095890411,1.597260274,Bank Subordinated Debt - AT1,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Subordinated Debt - AT1,4,-0.134122579,2.810191978,1.106060606,200,97.95358364,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.153532592,0.12160214,0.153532592,0.153532592,,No
AGT04,,Absa F/R 27102025,7000000,7276531.049,0.002452591,0.002452591,2025/10/27,JIBAR,245,,10.8,0.24109589,1.991780822,Bank Subordinated Debt - AT1,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Subordinated Debt - AT1,4,-0.134122579,2.810191978,1.317689531,245,98.05939811,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.153532592,0.12160214,0.153532592,0.153532592,,No
