InstrumentCode,ISIN,InstrumentLongName,HoldingNominal,AssetMarketValue,Weight (%) Pre,Weight (%) Post,Maturity,Companion,Spread,MTM,Yield,Mod Duration,Term,Type,Issuer Type,Issuer,Exposure,Level of Subordination,Subordination,Quality,Liquidity,Interest Rate Score,Spread over Jibar,Instrument Score,Risk,Risk Duration,Reference, ,Level 2,Level 3,Level 4,Level 1 Max,Level 2 Max,Level 3 Max,Level 4 Max,GIR,Infrastructure
ABFN23,ZAG000144296,ABFN23 Jb3Mth+2.05% 250527,8500000,8933677.447,0.002986223,0.002986223,2027/05/25,JIBAR,108,,9.43,0.049315068,3.547945205,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.051873199,108,64.35708635,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.152692916,0.120963067,0.152692916,0.152692916,2.1(c)(i),No
ABFN29,ZAG000153727,ABSA F/R 29082025,6000000,6173407.401,0.002063559,0.002063559,2025/08/29,JIBAR,94.25,,9.2925,0.060273973,1.810958904,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.064139942,94.25,64.36321972,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.152692916,0.120963067,0.152692916,0.152692916,2.1(c)(i),No
ABFN30,ZAG000153735,ABSA F/R 29082028,1000000,1040067.317,0.000347659,0.000347659,2028/08/29,JIBAR,118,,9.53,0.060273973,4.81369863,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.064139942,118,64.36321972,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.152692916,0.120963067,0.152692916,0.152692916,2.1(c)(i),No
ABFN36,,ABSA F/R 09022026,10000000,10049379.9,0.003359164,0.003359164,2026/02/07,JIBAR,122,,9.57,0.252054795,2.254794521,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.336996337,122,64.49964792,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.152692916,0.120963067,0.152692916,0.152692916,2.1(c)(i),No
ABFN40,,ABSA F/R 16092024,2100000,2135349.37,0.000713774,0.000713774,2024/09/16,JIBAR,90,,9.25,0.106849315,0.860273973,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.119631902,90,64.3909657,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.152692916,0.120963067,0.152692916,0.152692916,2.1(c)(i),No
ABFN41,ZAG000162371,ABSA F/R 16092026,1000000,1014552.421,0.00033913,0.00033913,2026/09/16,JIBAR,134,,9.69,0.106849315,2.860273973,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.119631902,134,64.3909657,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.152692916,0.120963067,0.152692916,0.152692916,2.1(c)(i),No
ABFN42,ZAG000162389,ABSA F/R 16092029,1000000,1016883.901,0.00033991,0.00033991,2029/09/16,JIBAR,142,,9.77,0.106849315,5.863013699,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.119631902,142,64.3909657,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.152692916,0.120963067,0.152692916,0.152692916,2.1(c)(i),No
ABFN50,,ABSA F/R 30032026,2600000,2625277.609,0.000877541,0.000877541,2026/03/30,JIBAR,130,,9.65,0.145205479,2.394520548,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.169871795,130,64.41608565,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.152692916,0.120963067,0.152692916,0.152692916,2.1(c)(i),No
ABFN61,,Absa F/R 24022028,20000000,20568943.92,0.006875495,0.006875495,2028/02/24,JIBAR,110,,9.45,0.046575342,4.301369863,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.048850575,110,64.35557504,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.152692916,0.120963067,0.152692916,0.152692916,2.1(c)(i),No
ABGN01,,ABSA F/R 27062025,2900000,2944124.265,0.00098412,0.00098412,2025/06/27,JIBAR,95,,9.3,0.136986301,1.638356164,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.158730159,95,64.41051483,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.152692916,0.120963067,0.152692916,0.152692916,2.1(c)(i),No
